Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,8398674,CADang,"2023-09-17 00:43:44",0.96118,152,cadang
2,10309479,MLCV,"2023-10-31 04:34:42",0.95090,590,computervisi
3,8593894,"Involutional Neural Network","2023-09-06 15:23:29",0.90109,50,ksd900
4,10534604,"Naresh K","2023-10-30 08:03:14",0.82183,105,nakkaggle
5,9967377,"Arun K Lenin","2023-09-28 09:09:08",0.82066,17,arunklenin
6,10245874,"Çağatay Demirbaş","2023-10-05 12:45:41",0.82066,1,cagataydemrbas
7,10959083,"Nguyễn Văn Thị Trà","2023-09-23 18:38:26",0.81949,3,nguynvnthtr
8,10445129,"Uday Dahiya","2023-10-02 12:47:47",0.81903,2,udaydahiya
9,11079084,"Tian and Tinc0","2023-10-26 02:47:45",0.81903,4,tincochan
10,10938845,fgjspaceman,"2023-10-20 11:24:17",0.81809,22,franoisgeorgesjulien
11,10894538,"Serhii Kharchuk","2023-09-10 18:20:09",0.81786,1,serhiikharchuk
12,10584718,Jason_,"2023-10-16 05:07:17",0.81786,1,jaso1024
13,10505168,HyeoungJu_Seo,"2023-09-15 06:59:33",0.81716,1,hyeoungjuseo
14,11132302,"Liu, Aaron","2023-10-26 02:22:11",0.81692,7,liuaaron
15,9445574,"Ahmed Ashraf Ahmed","2023-09-20 16:31:14",0.81669,2,ahmedashrafahmed
16,11084214,"susa xu","2023-10-20 11:27:26",0.81575,3,susaxu
17,9262303,"Serkan Polat","2023-10-14 16:05:04",0.81552,4,serkanp
18,10804162,Ikjeee,"2023-09-19 08:44:02",0.81552,1,ikjeee
19,10937522,yeoejoo,"2023-09-19 08:45:44",0.81552,1,yeoejoo
20,10804163,JueYeong,"2023-09-19 08:45:52",0.81552,1,jueyeong
21,10804169,"Chen se","2023-09-19 08:46:36",0.81552,1,chense
22,8962134,"Yagli Azmi","2023-10-19 10:47:04",0.81552,5,yagli18
23,10643925,W3M,"2023-09-04 09:28:40",0.81529,2,icelin
24,10841577,xasiban,"2023-09-09 13:42:16",0.81529,1,tkaska
25,10903596,hzmiu0428,"2023-09-12 15:15:33",0.81529,2,hzmiu0428
26,11040370,"Alperen ÜNLÜ","2023-10-28 23:01:40",0.81529,15,unlualperen
27,9435070,denizberkin,"2023-10-21 00:07:24",0.81482,3,denizberkin
28,11048930,"Abdullah Shamout","2023-10-20 14:10:20",0.81412,18,abdullahshamout
29,11141407,Jialy3,"2023-10-31 13:46:15",0.81412,38,jialy3
30,10855819,"Emir Bilir","2023-09-17 13:27:09",0.81365,28,emirbilir
31,10938840,"Syed Areeb","2023-09-21 16:17:30",0.81365,11,areebsyed237
32,10824343,"Ali Ochilov","2023-09-21 11:57:48",0.81365,5,aliochilov
33,11011702,"Astitwa Agarwal","2023-10-04 13:38:00",0.81365,1,astitwaagarwal
34,9611959,"YunHua Song","2023-10-10 02:20:43",0.81365,1,yunhuasong
35,11052401,SnehTShah,"2023-10-11 13:19:02",0.81365,4,snehtshah
36,11115133,AreYouAngry,"2023-10-23 11:23:11",0.81342,1,areyouangry
37,11009030,"Bryan Weather Chung","2023-10-04 08:07:48",0.81318,1,bryanchungweather
38,11007134,"VIKTOR ZHITENEV","2023-10-09 16:39:41",0.81318,13,viktorzhitenev
39,10588545,violetkjs,"2023-10-08 06:07:31",0.81318,10,junseongkim
40,10707878,jungkwon1,"2023-09-15 09:14:32",0.81295,7,jungkwon1
41,10822345,clayton21,"2023-09-04 12:27:06",0.81248,10,clayton21
42,11044230,"Tolga Uğur","2023-10-13 11:44:14",0.81248,6,tolgaugurr
43,11036148,Just4Fun,"2023-10-24 16:29:22",0.81248,21,justforfun44
44,10783985,gardn999,"2023-09-06 00:08:11",0.81225,2,gardn999
45,9637923,"Kumod Sharma","2023-09-06 14:48:53",0.81201,1,kdsharma
46,9698265,"DEEPANSHU VERMA0154","2023-09-07 09:13:20",0.81201,1,deepanshuverma0154
47,9406090,BlinkPact,"2023-09-12 13:15:16",0.81201,7,"arielletsofack,charbelnasr,christianborel,guillaumebiessy,guynyamsi,ievgensavin,nadimtawk,zakariako"
48,10688842,"Kacper Rabczewski","2023-09-23 07:48:05",0.81201,2,kacperrabczewski
49,10639383,"Minhao Zhang","2023-09-27 16:13:37",0.81131,15,minhaozhang1
50,10658142,"Satti Tareq","2023-09-18 08:50:19",0.81108,1,sattitareq
51,8816128,"Rifko Erlangga","2023-10-11 16:46:08",0.81108,1,rifkoerlangga
52,10923276,"Aymen Lassoued","2023-10-25 16:33:57",0.81108,76,lassouedaymen
